stop_id,stop_code,stop_name,stop_lat,stop_lon
"628101655","628101655","AVENIDA JUAN DOMINGO PERÓN 5499-5599",-34.789532,-58.312577
"6274132350","6274132350","BOMBERO VOLUNTARIO V. SENZABELLO 2002-2100",-34.788652,-58.259672
"6427109412","6427109412","AVENIDA JOSÉ EQUIZA 6383",-34.788180,-58.624690
"6274122947","6274122947","CALLE 14 1401-1499",-34.787992,-58.291542
"628110702","628110702","FALUCHO 5599-5699",-34.785462,-58.326717
"628132598","628132598","AVENIDA SAN MARTÍN 4400-4436",-34.784300,-58.343997
"6490131789","6490131789","GENERAL EUSTAQUIO FRÍAS 2302-2400",-34.783880,-58.421740
"628127177","628127177","EL PICAFLOR 2999-3099",-34.783485,-58.330655
"628110569","628110569","JOAQUÍN V. GONZÁLEZ 2599-2679",-34.812747,-58.366137
"6274111110","6274111110","CAMINO GENERAL BELGRANO 4406-4500",-34.812485,-58.205075
"6274120097","6274120097","AVENIDA GUILLERMO HUDSON 200-298",-34.812057,-58.258032
"6274105299","6274105299","JUAN VASQUEZ 441",-34.810625,-58.270562
"691126040","691126040","CAMINO GENERAL BELGRANO 5332",-34.808670,-58.211102
"6490128766","6490128766","INCA 2752-2800",-34.808387,-58.433430
"6260127413","6260127413","SAN MARTÍN 700-766",-34.807185,-58.462828
"628107293","628107293","ADOLFO ALSINA 3645",-34.807030,-58.350352
"6260125092","6260125092","NUESTRAS MALVINAS 800-898",-34.806052,-58.476272
"691132069","691132069","CALLE 137 A_CALLE 52 A",-34.805173,-58.181240
"6490126386","6490126386","BAHÍA BLANCA 13-99",-34.804815,-58.438013
"6274132215","6274132215","JUAN DE LA CRUZ CONTRERAS 802-900",-34.804272,-58.266400
"6260130622","6260130622","SAN MARTÍN 1200-1298",-34.803860,-58.456570
"628105111","628105111","AVENIDA LACAZE 4687",-34.803647,-58.333700
"628116306","628116306","AVENIDA SAN MARTÍN 1900-1948",-34.801992,-58.375590
"628106652","628106652","REMEDIOS DE ESCALADA DE SAN MARTÍN 699-799",-34.801788,-58.338265
"691105460","691105460","CAMINO GENERAL BELGRANO 3429-3495",-34.798070,-58.230655
"6441126432","6441126432","CAMINO PARQUE CENTENARIO_CALLE 495",-34.876145,-58.019922
"698131966","698131966","CALLE 30_AVENIDA N. H. BEGUIN",-34.874240,-57.857945
"6441126487","6441126487","CAMINO PARQUE CENTENARIO_CALLE 491",-34.874203,-58.024342
"6441128671","6441128671","CALLE 419_CALLE 27",-34.871312,-58.099912
"6441122424","6441122424","CAMINO GENERAL BELGRANO_CALLE 417",-34.868410,-58.099705
"6274130831","6274130831","CALLE 1149 1751-1799",-34.868242,-58.196535
"6441116879","6441116879","PLAZA SAN MARTÍN_DIAGONAL 4 URQUIZA",-34.866980,-58.048230
"698126584","698126584","AVENIDA MONTEVIDEO_CALLE 6",-34.866122,-57.888292
"6441101607","6441101607","CAMINO PARQUE CENTENARIO_CALLE CANTILO",-34.866092,-58.042145
"6441103375","6441103375","CAMINO GENERAL BELGRANO_CALLE 404",-34.861990,-58.115068
"6329119244","6329119244","ESTACION ZAMUDIO Y ZAMUDIO",-34.856828,-58.894210
"6441128535","6441128535","CALLE 419_CALLE 7",-34.854308,-58.080053
"6441132466","6441132466","CALLE 419_CALLE 4",-34.851453,-58.076720
"6441116370","6441116370","CAMINO PARQUE CENTENARIO_CALLE 56",-34.849813,-58.093580
